Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Foca,C1075,P1155,98,23,2254
44197,Foca,C1793,P8563,293,161,47173
44197,Foca,C6589,P1758,25,68,1700
44197,Foca,C6803,P8362,24,97,2328
44197,Foca,C7051,P6853,358,12,4296
44197,Foca,C7308,P1367,179,177,31683
44197,Foca,C7802,P1185,315,103,32445
44198,Foca,C1180,P1891,145,170,24650
44198,Foca,C1784,P8032,75,175,13125
44198,Foca,C2113,P6014,163,174,28362
44198,Foca,C2379,P6004,95,24,2280
44198,Foca,C2677,P1463,337,11,3707
44198,Foca,C3073,P5256,131,41,5371
44198,Foca,C3228,P8216,153,150,22950
44198,Foca,C3367,P3986,177,89,15753
44198,Foca,C3748,P6301,272,35,9520
44198,Foca,C4203,P3084,243,197,47871
44198,Foca,C4372,P3759,131,47,6157
44198,Foca,C5121,P9181,222,79,17538
44198,Foca,C5323,P9834,370,184,68080
44198,Foca,C6186,P5706,186,131,24366
44198,Foca,C6622,P7590,253,35,8855
44198,Foca,C6990,P9789,175,108,18900
44198,Foca,C7262,P9837,193,85,16405
44198,Foca,C7647,P6480,178,29,5162
44198,Foca,C8902,P3563,15,164,2460
44198,Foca,C9302,P2140,322,197,63434
44198,Foca,C9405,P8858,262,156,40872
44198,Foca,C9610,P9985,150,118,17700
44198,Foca,C9612,P7604,132,28,3696
44198,Foca,C9955,P1192,54,165,8910
44199,Foca,C1532,P3065,210,166,34860
44199,Foca,C1833,P9198,151,173,26123
44199,Foca,C3330,P9224,185,21,3885
44199,Foca,C4343,P1418,142,126,17892
44199,Foca,C5194,P1249,182,163,29666
44199,Foca,C5995,P4858,39,90,3510
44199,Foca,C6371,P4279,188,194,36472
44199,Foca,C8256,P9967,105,28,2940
44199,Foca,C8376,P7529,233,135,31455
44199,Foca,C8421,P4913,186,130,24180
44200,Foca,C1354,P4423,370,130,48100
44200,Foca,C1627,P6125,188,84,15792
44200,Foca,C5831,P3476,223,170,37910
44200,Foca,C5975,P8740,277,200,55400
44200,Foca,C6371,P3533,71,39,2769
44200,Foca,C8200,P7251,100,165,16500
44200,Foca,C8433,P3518,228,31,7068
44200,Foca,C8923,P4498,135,34,4590
44201,Foca,C2239,P3487,163,75,12225
44201,Foca,C2346,P6643,25,15,375
44201,Foca,C4277,P4024,277,180,49860
44201,Foca,C5194,P7557,382,72,27504
44201,Foca,C5409,P8016,139,49,6811
44201,Foca,C6236,P9145,253,162,40986
44201,Foca,C6625,P2972,277,51,14127
44201,Foca,C6633,P7994,155,111,17205
44201,Foca,C6835,P6247,386,83,32038
44201,Foca,C7131,P1687,339,28,9492
44201,Foca,C7820,P2556,378,128,48384
44201,Foca,C8136,P3568,326,160,52160
44201,Foca,C9217,P5337,213,66,14058
44201,Foca,C9431,P1286,21,117,2457
44201,Foca,C9433,P8651,119,183,21777
44202,Foca,C1737,P9009,65,109,7085
44202,Foca,C3331,P9551,101,118,11918
44202,Foca,C4399,P8205,388,197,76436
44202,Foca,C4879,P2054,384,156,59904
44202,Foca,C4999,P9071,353,78,27534
44202,Foca,C5596,P3753,280,15,4200
44202,Foca,C5974,P2738,95,155,14725
44202,Foca,C6847,P1997,279,36,10044
44202,Foca,C6957,P9682,380,135,51300
44202,Foca,C7724,P7894,343,60,20580
44203,Foca,C1093,P4778,253,38,9614
44203,Foca,C1458,P8158,235,40,9400
44203,Foca,C3558,P1269,91,165,15015
44203,Foca,C3611,P9365,322,73,23506
44203,Foca,C3900,P6402,379,59,22361
44203,Foca,C4041,P2937,27,196,5292
44203,Foca,C5221,P7641,123,57,7011
44203,Foca,C5550,P2769,61,107,6527
44203,Foca,C6177,P1900,401,139,55739
44203,Foca,C6221,P5429,205,185,37925
44203,Foca,C6503,P5554,208,141,29328
44203,Foca,C7314,P7294,367,112,41104
44203,Foca,C8329,P9707,181,40,7240
44203,Foca,C9606,P6672,395,26,10270
44203,Foca,C9751,P7900,240,180,43200
44204,Foca,C1590,P6726,321,181,58101
44204,Foca,C1605,P6550,220,96,21120
44204,Foca,C2373,P4781,82,64,5248
44204,Foca,C2893,P1666,243,169,41067
44204,Foca,C3460,P2098,107,172,18404
44204,Foca,C5072,P9393,197,197,38809
44204,Foca,C6247,P9095,313,40,12520
44204,Foca,C6960,P8210,45,57,2565
44204,Foca,C7370,P8064,296,41,12136
44204,Foca,C7853,P1641,307,84,25788
44204,Foca,C9219,P7610,204,98,19992
44204,Foca,C9435,P4487,376,14,5264
44204,Foca,C9725,P5579,149,110,16390
44205,Foca,C1782,P7446,152,122,18544
