Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Formiga,C1188,P8859,98,165,16170
44197,Formiga,C2079,P3471,28,120,3360
44197,Formiga,C4038,P6938,204,125,25500
44197,Formiga,C5691,P6633,166,170,28220
44198,Formiga,C2845,P8283,75,104,7800
44198,Formiga,C3201,P7841,137,16,2192
44198,Formiga,C3508,P1431,290,47,13630
44198,Formiga,C3696,P7659,274,133,36442
44198,Formiga,C4572,P4102,105,151,15855
44198,Formiga,C5635,P3463,320,109,34880
44198,Formiga,C5701,P4765,77,23,1771
44198,Formiga,C6103,P3361,283,98,27734
44198,Formiga,C7651,P4118,58,172,9976
44198,Formiga,C7940,P3101,190,93,17670
44198,Formiga,C8271,P4392,269,47,12643
44198,Formiga,C8431,P8591,46,21,966
44198,Formiga,C8531,P3435,329,180,59220
44199,Formiga,C1107,P9986,143,135,19305
44199,Formiga,C1260,P5127,224,173,38752
44199,Formiga,C1728,P5316,71,121,8591
44199,Formiga,C2198,P5687,165,159,26235
44199,Formiga,C4264,P5256,277,39,10803
44199,Formiga,C4934,P2206,122,29,3538
44199,Formiga,C8560,P3084,126,10,1260
44199,Formiga,C8571,P9780,94,90,8460
44199,Formiga,C9064,P2234,132,142,18744
44199,Formiga,C9520,P3526,53,38,2014
44200,Formiga,C1126,P4594,165,54,8910
44200,Formiga,C1739,P7211,205,125,25625
44200,Formiga,C2319,P5358,326,59,19234
44200,Formiga,C2502,P2548,121,60,7260
44200,Formiga,C3853,P7946,393,195,76635
44200,Formiga,C4509,P1328,14,160,2240
44200,Formiga,C4517,P9640,375,132,49500
44200,Formiga,C7712,P6290,92,13,1196
44200,Formiga,C8228,P5991,214,172,36808
44200,Formiga,C8439,P9266,324,13,4212
44200,Formiga,C8460,P5093,202,136,27472
44201,Formiga,C1093,P8670,12,100,1200
44201,Formiga,C3955,P8955,34,66,2244
44201,Formiga,C5516,P2918,117,144,16848
44201,Formiga,C6201,P4948,318,130,41340
44201,Formiga,C7557,P1385,387,159,61533
44201,Formiga,C9011,P8991,259,136,35224
44202,Formiga,C1142,P8637,129,127,16383
44202,Formiga,C2107,P2227,276,34,9384
44202,Formiga,C2449,P2415,281,38,10678
44202,Formiga,C2922,P3552,390,83,32370
44202,Formiga,C4545,P6143,140,56,7840
44202,Formiga,C4638,P9020,262,74,19388
44202,Formiga,C4918,P4635,316,104,32864
44202,Formiga,C5316,P3938,59,59,3481
44202,Formiga,C5988,P9454,352,86,30272
44202,Formiga,C7265,P8528,208,56,11648
44202,Formiga,C7339,P3451,317,87,27579
44202,Formiga,C8049,P7038,201,136,27336
44202,Formiga,C8789,P7275,66,60,3960
44202,Formiga,C8823,P8617,243,144,34992
44202,Formiga,C9490,P7494,264,27,7128
44203,Formiga,C3360,P9200,289,139,40171
44203,Formiga,C4028,P8532,152,29,4408
44203,Formiga,C5228,P6499,251,22,5522
44203,Formiga,C5590,P6550,343,26,8918
44203,Formiga,C6710,P4755,311,20,6220
44203,Formiga,C6869,P1588,381,120,45720
44203,Formiga,C8139,P8696,75,141,10575
44203,Formiga,C8230,P7972,322,56,18032
44203,Formiga,C9103,P9632,31,70,2170
44203,Formiga,C9724,P5415,191,62,11842
44204,Formiga,C2355,P9428,335,181,60635
44204,Formiga,C3392,P7668,27,41,1107
44204,Formiga,C4237,P3242,205,24,4920
44204,Formiga,C4470,P8963,174,88,15312
44205,Formiga,C2089,P4637,180,66,11880
44205,Formiga,C2504,P3784,112,170,19040
44205,Formiga,C2586,P4475,215,34,7310
44205,Formiga,C4583,P7667,174,39,6786
44205,Formiga,C6404,P1127,158,66,10428
44205,Formiga,C6973,P1579,311,111,34521
44205,Formiga,C9133,P1644,136,110,14960
44205,Formiga,C9850,P5289,107,95,10165
44206,Formiga,C1084,P5319,68,114,7752
44206,Formiga,C1518,P5529,45,189,8505
44206,Formiga,C2425,P4476,214,176,37664
44206,Formiga,C3397,P5469,257,41,10537
44206,Formiga,C5139,P3513,103,137,14111
44206,Formiga,C8587,P4093,76,104,7904
44207,Formiga,C1371,P1591,110,93,10230
44207,Formiga,C1967,P4818,195,23,4485
44207,Formiga,C3259,P4463,66,64,4224
44207,Formiga,C4882,P4199,58,88,5104
44207,Formiga,C8280,P8557,239,138,32982
44207,Formiga,C9410,P6838,193,110,21230
44207,Formiga,C9439,P6033,149,125,18625
44208,Formiga,C1170,P8302,61,54,3294
44208,Formiga,C1176,P1449,282,123,34686
44208,Formiga,C2876,P1383,347,111,38517
44208,Formiga,C3047,P2532,366,200,73200
44208,Formiga,C3483,P2307,399,120,47880
44208,Formiga,C3724,P1486,372,62,23064
44208,Formiga,C4788,P5066,262,179,46898
44208,Formiga,C5137,P8602,55,32,1760
44208,Formiga,C5976,P1282,285,173,49305
44208,Formiga,C6945,P9602,239,19,4541
44208,Formiga,C7727,P5548,358,109,39022
44208,Formiga,C8488,P9866,375,191,71625
44208,Formiga,C9201,P6127,349,69,24081
44209,Formiga,C4276,P9603,104,30,3120
44209,Formiga,C5430,P3276,383,161,61663
44209,Formiga,C6849,P8795,353,90,31770
44209,Formiga,C7975,P3294,184,59,10856
44209,Formiga,C8253,P2635,274,156,42744
44209,Formiga,C8693,P7393,388,50,19400
44210,Formiga,C1520,P6765,36,108,3888
44210,Formiga,C2176,P5091,331,154,50974
44210,Formiga,C2917,P8637,186,33,6138
44210,Formiga,C3774,P5217,322,51,16422
44210,Formiga,C4001,P8335,229,40,9160
44210,Formiga,C4463,P2776,371,196,72716
44210,Formiga,C4715,P7905,194,63,12222
44210,Formiga,C6332,P5039,123,12,1476
44210,Formiga,C6508,P4572,139,18,2502
44210,Formiga,C7214,P4084,18,105,1890
44210,Formiga,C7290,P8772,142,143,20306
44210,Formiga,C8786,P3834,384,59,22656
44211,Formiga,C2407,P4648,160,124,19840
44211,Formiga,C3206,P7783,276,194,53544
44211,Formiga,C3354,P9030,20,198,3960
44211,Formiga,C5051,P2345,103,86,8858
44211,Formiga,C5256,P1072,75,107,8025
44211,Formiga,C5483,P1336,223,147,32781
44211,Formiga,C7356,P8128,215,121,26015
44211,Formiga,C7730,P3785,140,73,10220
44211,Formiga,C8444,P5010,296,74,21904
44211,Formiga,C9942,P6236,288,84,24192
44212,Formiga,C4073,P9548,248,129,31992
44212,Formiga,C5420,P7853,16,114,1824
44212,Formiga,C5844,P7986,399,19,7581
