Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Girafa,C1333,P1833,59,92,5428
44197,Girafa,C1639,P7259,72,28,2016
44197,Girafa,C5113,P7759,219,124,27156
44197,Girafa,C5830,P2404,190,109,20710
44197,Girafa,C6283,P2477,254,183,46482
44197,Girafa,C7590,P1946,24,139,3336
44197,Girafa,C7592,P1965,314,182,57148
44197,Girafa,C7943,P7175,196,55,10780
44198,Girafa,C1992,P1542,169,200,33800
44198,Girafa,C3262,P1304,55,198,10890
44198,Girafa,C3465,P9757,244,141,34404
44198,Girafa,C5178,P5460,101,124,12524
44198,Girafa,C7338,P4325,359,153,54927
44198,Girafa,C7360,P5408,302,166,50132
44198,Girafa,C8540,P1111,398,26,10348
44198,Girafa,C8724,P6866,250,63,15750
44198,Girafa,C9156,P5857,370,124,45880
44199,Girafa,C1233,P3097,18,62,1116
44199,Girafa,C1448,P5210,357,16,5712
44199,Girafa,C1561,P3914,357,158,56406
44199,Girafa,C3235,P6328,165,151,24915
44199,Girafa,C3448,P7222,256,92,23552
44199,Girafa,C3985,P6805,364,103,37492
44199,Girafa,C4934,P1752,280,23,6440
44199,Girafa,C5083,P8709,323,115,37145
44199,Girafa,C7209,P8340,45,44,1980
44199,Girafa,C7981,P3755,337,148,49876
44199,Girafa,C8310,P7428,43,193,8299
44199,Girafa,C8511,P1171,325,48,15600
44199,Girafa,C8816,P5397,380,13,4940
44199,Girafa,C9079,P4459,338,189,63882
44199,Girafa,C9532,P2877,211,95,20045
44200,Girafa,C1915,P1053,212,86,18232
44200,Girafa,C4134,P2361,98,63,6174
44200,Girafa,C4259,P9416,256,70,17920
44200,Girafa,C5842,P6117,83,139,11537
44200,Girafa,C7908,P5686,195,19,3705
44200,Girafa,C7917,P5472,297,40,11880
44200,Girafa,C8868,P6583,354,54,19116
44200,Girafa,C9227,P7815,115,178,20470
44200,Girafa,C9625,P8773,49,111,5439
44201,Girafa,C2103,P6990,312,23,7176
44201,Girafa,C4481,P9187,375,19,7125
44201,Girafa,C6116,P2129,283,48,13584
44201,Girafa,C6448,P1785,70,67,4690
44201,Girafa,C6890,P3708,324,56,18144
44201,Girafa,C8470,P6988,336,141,47376
44201,Girafa,C9528,P4202,330,30,9900
44201,Girafa,C9704,P5844,379,20,7580
44202,Girafa,C1743,P1703,53,171,9063
44202,Girafa,C2649,P9194,381,152,57912
44202,Girafa,C3445,P2110,250,17,4250
44202,Girafa,C5448,P2506,146,201,29346
44202,Girafa,C5855,P7286,391,31,12121
44202,Girafa,C5888,P4864,344,153,52632
44202,Girafa,C6136,P3355,286,68,19448
44202,Girafa,C6379,P2554,158,53,8374
44202,Girafa,C6601,P1870,43,186,7998
44202,Girafa,C7966,P5438,23,68,1564
44202,Girafa,C9005,P2497,47,190,8930
44202,Girafa,C9364,P3729,198,123,24354
44202,Girafa,C9375,P8770,366,34,12444
44202,Girafa,C9675,P1848,199,122,24278
44203,Girafa,C1050,P6214,240,115,27600
44203,Girafa,C1611,P4953,116,56,6496
44203,Girafa,C3026,P3834,204,32,6528
44203,Girafa,C3103,P2831,319,26,8294
