Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Grilo,C1947,P6559,133,147,19551
44197,Grilo,C3935,P1420,222,137,30414
44197,Grilo,C9975,P5110,248,84,20832
44198,Grilo,C1479,P4715,95,31,2945
44198,Grilo,C2297,P4858,149,153,22797
44198,Grilo,C2909,P6275,232,62,14384
44198,Grilo,C3756,P8013,159,140,22260
44198,Grilo,C5238,P4614,28,160,4480
44198,Grilo,C6401,P9474,326,63,20538
44198,Grilo,C9841,P9087,138,82,11316
44199,Grilo,C1852,P7861,280,11,3080
44199,Grilo,C2255,P1058,360,191,68760
44199,Grilo,C2853,P9704,78,59,4602
44199,Grilo,C3429,P2414,276,12,3312
44200,Grilo,C1056,P7309,327,165,53955
44200,Grilo,C1058,P6874,384,10,3840
44200,Grilo,C1646,P2679,284,130,36920
44200,Grilo,C2086,P7437,398,24,9552
44200,Grilo,C2310,P6027,66,44,2904
44200,Grilo,C4706,P5233,66,92,6072
44200,Grilo,C6260,P9793,254,20,5080
44200,Grilo,C7013,P2489,309,176,54384
44200,Grilo,C8485,P9959,268,153,41004
44200,Grilo,C9180,P4267,21,89,1869
44200,Grilo,C9852,P9037,197,151,29747
44200,Grilo,C9895,P1001,127,16,2032
44201,Grilo,C5586,P3058,104,172,17888
44201,Grilo,C6091,P1773,166,148,24568
44201,Grilo,C8128,P9201,248,78,19344
44202,Grilo,C1130,P9741,203,77,15631
44202,Grilo,C4578,P3266,251,171,42921
44202,Grilo,C5258,P9749,314,147,46158
44202,Grilo,C6054,P3865,141,174,24534
44202,Grilo,C6370,P6532,280,184,51520
44202,Grilo,C7456,P8339,355,175,62125
44202,Grilo,C7895,P8134,287,137,39319
44202,Grilo,C8335,P7201,393,177,69561
44202,Grilo,C8968,P1136,362,64,23168
44203,Grilo,C1154,P1097,320,168,53760
44203,Grilo,C1661,P3121,374,99,37026
44203,Grilo,C2030,P2484,45,76,3420
44203,Grilo,C2478,P2064,79,59,4661
44203,Grilo,C2867,P4891,102,139,14178
44203,Grilo,C3036,P3165,73,47,3431
44203,Grilo,C3544,P1899,34,66,2244
44203,Grilo,C5374,P2782,204,95,19380
