Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Hipopótamo,C4796,P4637,239,107,25573
44198,Hipopótamo,C1000,P7576,398,160,63680
44198,Hipopótamo,C1344,P2073,394,119,46886
44198,Hipopótamo,C1766,P4587,12,114,1368
44198,Hipopótamo,C1770,P1316,209,53,11077
44198,Hipopótamo,C1985,P5085,348,176,61248
44198,Hipopótamo,C4618,P3886,366,87,31842
44198,Hipopótamo,C4816,P5409,400,120,48000
44198,Hipopótamo,C5769,P7740,314,147,46158
44198,Hipopótamo,C7897,P6191,368,147,54096
44198,Hipopótamo,C8357,P3922,212,26,5512
44198,Hipopótamo,C8458,P1166,20,126,2520
44198,Hipopótamo,C8666,P6077,30,93,2790
44198,Hipopótamo,C8671,P2515,344,74,25456
44198,Hipopótamo,C8735,P8307,151,62,9362
44198,Hipopótamo,C9776,P8986,339,139,47121
44198,Hipopótamo,C9823,P1879,242,59,14278
44199,Hipopótamo,C2369,P5927,109,45,4905
44199,Hipopótamo,C3090,P3154,245,63,15435
44199,Hipopótamo,C3908,P7807,248,110,27280
44199,Hipopótamo,C4436,P8059,96,106,10176
44199,Hipopótamo,C4885,P9294,321,66,21186
44199,Hipopótamo,C5712,P8314,11,196,2156
44200,Hipopótamo,C1472,P2711,325,159,51675
44200,Hipopótamo,C2211,P5947,398,38,15124
44200,Hipopótamo,C2260,P2460,74,104,7696
44200,Hipopótamo,C2874,P5986,189,189,35721
44200,Hipopótamo,C3157,P9420,184,100,18400
44200,Hipopótamo,C3529,P5512,52,15,780
44200,Hipopótamo,C4063,P6712,162,109,17658
44200,Hipopótamo,C4537,P6213,370,29,10730
44200,Hipopótamo,C4949,P3686,212,112,23744
44200,Hipopótamo,C5535,P3527,321,108,34668
44200,Hipopótamo,C8293,P2783,22,160,3520
44200,Hipopótamo,C8337,P7512,175,177,30975
44200,Hipopótamo,C9550,P7685,191,176,33616
44201,Hipopótamo,C1093,P7470,53,129,6837
44201,Hipopótamo,C2613,P4543,213,114,24282
44201,Hipopótamo,C3580,P4298,110,114,12540
44201,Hipopótamo,C4599,P1040,204,39,7956
44201,Hipopótamo,C4970,P7313,132,74,9768
44201,Hipopótamo,C5094,P3259,257,97,24929
44201,Hipopótamo,C6261,P4102,245,166,40670
44201,Hipopótamo,C7558,P1839,229,166,38014
44202,Hipopótamo,C1154,P1842,46,133,6118
44202,Hipopótamo,C1430,P3564,153,129,19737
44202,Hipopótamo,C1688,P5897,306,175,53550
44202,Hipopótamo,C1827,P1667,330,114,37620
44202,Hipopótamo,C2337,P5365,81,65,5265
44202,Hipopótamo,C5423,P7095,312,190,59280
44202,Hipopótamo,C5941,P6360,100,194,19400
44202,Hipopótamo,C7586,P7633,268,47,12596
44202,Hipopótamo,C8284,P2415,153,32,4896
44202,Hipopótamo,C8339,P3185,82,152,12464
44202,Hipopótamo,C8583,P2838,186,143,26598
44202,Hipopótamo,C8656,P5852,221,162,35802
44203,Hipopótamo,C3345,P4120,325,143,46475
44203,Hipopótamo,C3707,P5371,375,118,44250
44203,Hipopótamo,C3886,P9432,239,93,22227
44203,Hipopótamo,C4540,P1594,394,45,17730
44203,Hipopótamo,C5416,P5837,267,92,24564
44203,Hipopótamo,C5551,P5624,211,56,11816
44203,Hipopótamo,C6099,P9048,136,198,26928
44203,Hipopótamo,C6372,P4151,262,94,24628
44203,Hipopótamo,C6501,P5989,151,105,15855
44203,Hipopótamo,C7124,P2993,168,110,18480
44203,Hipopótamo,C8222,P4151,11,158,1738
44203,Hipopótamo,C8724,P5682,34,189,6426
44203,Hipopótamo,C9373,P9660,150,195,29250
44203,Hipopótamo,C9736,P3566,391,148,57868
44204,Hipopótamo,C2136,P1131,348,90,31320
44204,Hipopótamo,C2505,P7839,219,89,19491
44204,Hipopótamo,C2806,P7827,310,45,13950
44204,Hipopótamo,C2867,P4145,377,175,65975
44204,Hipopótamo,C4574,P2191,63,164,10332
44204,Hipopótamo,C6332,P1714,389,151,58739
44204,Hipopótamo,C7706,P3704,164,34,5576
44204,Hipopótamo,C7791,P6069,357,110,39270
44204,Hipopótamo,C8512,P5697,18,70,1260
44204,Hipopótamo,C8759,P8679,11,58,638
44204,Hipopótamo,C9704,P9752,271,178,48238
44205,Hipopótamo,C1104,P7583,71,56,3976
44205,Hipopótamo,C1980,P2370,103,96,9888
44205,Hipopótamo,C2357,P4646,10,149,1490
44205,Hipopótamo,C2641,P4044,187,183,34221
44205,Hipopótamo,C3003,P5750,78,164,12792
44205,Hipopótamo,C3388,P2393,63,108,6804
44205,Hipopótamo,C3820,P4239,333,117,38961
44205,Hipopótamo,C5993,P6509,74,122,9028
44205,Hipopótamo,C7612,P4117,135,119,16065
44206,Hipopótamo,C1624,P2067,316,28,8848
44206,Hipopótamo,C3729,P6326,393,31,12183
44206,Hipopótamo,C4054,P2160,260,152,39520
44206,Hipopótamo,C4735,P6552,189,187,35343
44206,Hipopótamo,C6283,P8965,155,46,7130
44206,Hipopótamo,C9738,P9148,373,135,50355
44207,Hipopótamo,C1474,P9509,399,23,9177
44207,Hipopótamo,C2261,P4294,357,36,12852
44207,Hipopótamo,C2522,P6646,17,124,2108
44207,Hipopótamo,C4609,P2496,240,133,31920
44207,Hipopótamo,C6750,P1952,252,168,42336
44207,Hipopótamo,C7582,P2666,322,169,54418
44207,Hipopótamo,C7735,P7261,245,22,5390
44207,Hipopótamo,C7945,P1081,121,47,5687
44207,Hipopótamo,C9570,P9382,170,107,18190
44208,Hipopótamo,C1838,P7179,82,128,10496
44208,Hipopótamo,C2230,P5243,70,27,1890
44208,Hipopótamo,C3431,P6066,318,160,50880
44208,Hipopótamo,C3851,P5706,279,164,45756
44208,Hipopótamo,C4930,P3711,333,108,35964
44208,Hipopótamo,C4968,P9127,125,153,19125
44208,Hipopótamo,C6548,P2953,295,41,12095
44208,Hipopótamo,C7674,P6452,127,200,25400
44209,Hipopótamo,C2530,P6121,336,144,48384
44209,Hipopótamo,C3289,P4275,213,133,28329
44209,Hipopótamo,C3592,P3082,244,160,39040
44209,Hipopótamo,C4739,P8553,195,112,21840
44209,Hipopótamo,C5190,P9807,318,115,36570
44209,Hipopótamo,C7977,P8258,366,182,66612
44209,Hipopótamo,C9533,P3383,219,146,31974
44210,Hipopótamo,C1735,P5569,384,107,41088
44210,Hipopótamo,C3258,P5970,42,89,3738
44210,Hipopótamo,C3856,P4707,76,136,10336
44210,Hipopótamo,C4085,P3790,165,57,9405
44210,Hipopótamo,C4092,P4303,94,191,17954
44210,Hipopótamo,C4705,P5719,176,100,17600
44210,Hipopótamo,C4805,P9109,226,62,14012
44210,Hipopótamo,C5468,P9602,250,28,7000
44210,Hipopótamo,C6773,P4107,229,52,11908
44210,Hipopótamo,C8809,P9881,119,196,23324
44211,Hipopótamo,C1106,P7326,220,46,10120
44211,Hipopótamo,C2108,P2570,326,36,11736
44211,Hipopótamo,C2236,P5154,332,12,3984
44211,Hipopótamo,C4663,P1919,387,139,53793
44211,Hipopótamo,C4806,P4327,292,29,8468
44211,Hipopótamo,C6212,P7186,111,138,15318
44211,Hipopótamo,C6695,P1509,239,146,34894
44211,Hipopótamo,C9539,P5694,398,73,29054
44212,Hipopótamo,C1219,P3631,303,55,16665
44212,Hipopótamo,C4440,P4692,245,137,33565
44212,Hipopótamo,C4831,P6338,209,98,20482
44212,Hipopótamo,C5071,P1462,74,121,8954
44212,Hipopótamo,C6727,P8977,368,47,17296
44212,Hipopótamo,C8675,P9511,18,125,2250
44212,Hipopótamo,C8738,P9139,76,18,1368
44212,Hipopótamo,C9267,P6101,222,102,22644
44212,Hipopótamo,C9814,P6215,157,98,15386
44212,Hipopótamo,C9985,P1654,268,100,26800
44213,Hipopótamo,C4498,P3990,231,179,41349
44213,Hipopótamo,C6093,P8587,374,108,40392
44213,Hipopótamo,C6284,P9598,89,198,17622
44213,Hipopótamo,C6345,P3062,398,188,74824
44213,Hipopótamo,C6635,P7008,321,42,13482
44213,Hipopótamo,C7152,P3419,350,98,34300
44213,Hipopótamo,C7453,P7606,217,170,36890
44213,Hipopótamo,C8680,P7149,289,77,22253
44213,Hipopótamo,C8764,P8314,133,181,24073
44213,Hipopótamo,C8799,P9656,310,74,22940
44213,Hipopótamo,C9230,P8938,314,93,29202
44213,Hipopótamo,C9477,P6229,298,36,10728
44213,Hipopótamo,C9809,P9921,294,123,36162
44214,Hipopótamo,C1747,P1191,351,151,53001
44214,Hipopótamo,C2052,P4962,173,110,19030
44214,Hipopótamo,C2978,P8572,262,172,45064
44214,Hipopótamo,C3077,P9107,163,185,30155
44214,Hipopótamo,C3125,P5309,57,60,3420
44214,Hipopótamo,C3614,P6290,354,63,22302
44214,Hipopótamo,C3717,P2808,335,51,17085
44214,Hipopótamo,C6050,P6876,328,88,28864
44214,Hipopótamo,C6363,P6669,28,107,2996
44214,Hipopótamo,C6564,P8958,77,146,11242
44214,Hipopótamo,C7084,P6297,80,67,5360
44214,Hipopótamo,C8513,P5002,68,150,10200
44215,Hipopótamo,C2264,P3455,347,109,37823
44215,Hipopótamo,C2347,P8656,400,91,36400
44215,Hipopótamo,C2394,P4404,61,150,9150
44215,Hipopótamo,C3659,P1273,391,115,44965
44215,Hipopótamo,C4822,P5678,65,12,780
44215,Hipopótamo,C5120,P2792,107,168,17976
44215,Hipopótamo,C5579,P2158,243,172,41796
44215,Hipopótamo,C7557,P8797,106,131,13886
44215,Hipopótamo,C8628,P2526,398,172,68456
44215,Hipopótamo,C9669,P8604,320,145,46400
44215,Hipopótamo,C9812,P3213,183,198,36234
44216,Hipopótamo,C3048,P5275,332,144,47808
44216,Hipopótamo,C4450,P7640,122,161,19642
44216,Hipopótamo,C5151,P7405,87,121,10527
44216,Hipopótamo,C5256,P2288,167,174,29058
44216,Hipopótamo,C6573,P4398,188,99,18612
44216,Hipopótamo,C8092,P4306,207,180,37260
44217,Hipopótamo,C1183,P5594,353,171,60363
44217,Hipopótamo,C2961,P3345,82,33,2706
44217,Hipopótamo,C5856,P8553,258,143,36894
44217,Hipopótamo,C7126,P7115,185,170,31450
44217,Hipopótamo,C7611,P8057,295,88,25960
44217,Hipopótamo,C9808,P1229,312,177,55224
44217,Hipopótamo,C9948,P3618,318,26,8268
44218,Hipopótamo,C2018,P1546,386,182,70252
44218,Hipopótamo,C2399,P8350,141,12,1692
44218,Hipopótamo,C2441,P2405,205,200,41000
44218,Hipopótamo,C4119,P4566,317,129,40893
44218,Hipopótamo,C6382,P1149,124,116,14384
44218,Hipopótamo,C6539,P8618,94,151,14194
44218,Hipopótamo,C9257,P2439,105,116,12180
44218,Hipopótamo,C9581,P6819,130,40,5200
44219,Hipopótamo,C1715,P9793,281,28,7868
44219,Hipopótamo,C2054,P6197,163,29,4727
44219,Hipopótamo,C3155,P2430,12,39,468
44219,Hipopótamo,C3775,P6468,56,66,3696
44219,Hipopótamo,C4256,P9771,285,32,9120
44219,Hipopótamo,C4853,P4454,211,159,33549
44219,Hipopótamo,C8826,P7212,209,16,3344
44220,Hipopótamo,C1440,P7325,57,67,3819
44220,Hipopótamo,C4269,P3886,276,50,13800
44220,Hipopótamo,C5623,P6448,297,88,26136
44220,Hipopótamo,C6094,P4276,25,179,4475
44220,Hipopótamo,C7947,P5949,254,72,18288
44220,Hipopótamo,C9831,P4292,363,74,26862
44221,Hipopótamo,C1433,P6067,12,160,1920
44221,Hipopótamo,C1456,P3568,371,112,41552
44221,Hipopótamo,C4470,P4229,251,154,38654
44221,Hipopótamo,C7016,P3501,326,87,28362
44221,Hipopótamo,C9902,P6996,224,92,20608
44222,Hipopótamo,C1302,P3918,340,148,50320
44222,Hipopótamo,C1750,P9643,225,183,41175
44222,Hipopótamo,C1967,P2030,346,24,8304
44222,Hipopótamo,C2907,P1410,227,82,18614
44222,Hipopótamo,C2957,P7377,136,155,21080
44222,Hipopótamo,C3956,P9201,36,160,5760
44222,Hipopótamo,C4231,P9268,344,179,61576
44222,Hipopótamo,C4315,P2633,145,64,9280
44222,Hipopótamo,C5708,P6576,141,79,11139
44222,Hipopótamo,C7944,P3984,281,94,26414
44222,Hipopótamo,C8256,P5867,115,54,6210
44222,Hipopótamo,C8382,P7977,380,172,65360
44222,Hipopótamo,C9227,P3551,167,156,26052
44223,Hipopótamo,C1235,P3961,210,20,4200
44223,Hipopótamo,C1565,P4343,215,152,32680
44223,Hipopótamo,C2904,P5135,263,149,39187
44223,Hipopótamo,C4283,P7618,67,123,8241
44223,Hipopótamo,C4469,P8137,143,121,17303
44223,Hipopótamo,C4890,P4032,170,16,2720
44223,Hipopótamo,C4914,P2279,254,123,31242
44223,Hipopótamo,C5675,P9452,30,155,4650
44223,Hipopótamo,C6088,P2435,212,164,34768
44223,Hipopótamo,C6266,P8586,210,80,16800
44223,Hipopótamo,C6397,P2190,115,98,11270
44223,Hipopótamo,C6409,P5595,381,75,28575
44223,Hipopótamo,C6564,P8100,169,178,30082
44223,Hipopótamo,C6742,P4051,209,123,25707
44223,Hipopótamo,C8198,P6732,87,61,5307
44223,Hipopótamo,C8225,P5453,302,27,8154
44223,Hipopótamo,C9332,P7143,363,60,21780
44223,Hipopótamo,C9398,P1099,311,142,44162
44224,Hipopótamo,C1468,P9682,180,84,15120
44224,Hipopótamo,C2258,P4486,36,140,5040
44224,Hipopótamo,C3018,P7604,95,61,5795
44224,Hipopótamo,C4014,P7299,64,40,2560
44224,Hipopótamo,C5279,P4167,394,196,77224
44224,Hipopótamo,C6332,P2997,391,168,65688
44224,Hipopótamo,C7368,P1237,83,28,2324
44224,Hipopótamo,C7510,P1082,113,119,13447
44224,Hipopótamo,C9945,P1669,87,144,12528
44225,Hipopótamo,C2565,P6785,306,22,6732
44225,Hipopótamo,C3417,P9470,104,197,20488
44225,Hipopótamo,C4474,P5029,298,109,32482
44225,Hipopótamo,C5000,P4516,131,98,12838
44225,Hipopótamo,C5741,P1172,19,152,2888
44225,Hipopótamo,C8089,P9120,18,23,414
44226,Hipopótamo,C3006,P6307,253,68,17204
44226,Hipopótamo,C3449,P1339,150,41,6150
44226,Hipopótamo,C3800,P8658,65,89,5785
44226,Hipopótamo,C6816,P8592,118,18,2124
44226,Hipopótamo,C6980,P7119,175,181,31675
44226,Hipopótamo,C7481,P7450,240,50,12000
44226,Hipopótamo,C8073,P1639,137,85,11645
44226,Hipopótamo,C8207,P8772,281,72,20232
44226,Hipopótamo,C8348,P2907,12,76,912
44226,Hipopótamo,C9037,P8720,335,66,22110
44226,Hipopótamo,C9586,P6745,136,120,16320
44226,Hipopótamo,C9936,P7900,302,74,22348
44227,Hipopótamo,C1156,P9306,322,149,47978
44227,Hipopótamo,C1568,P9634,313,181,56653
44227,Hipopótamo,C1772,P5506,135,63,8505
44227,Hipopótamo,C2292,P3591,255,139,35445
44227,Hipopótamo,C2820,P9242,228,31,7068
44227,Hipopótamo,C3009,P3635,351,20,7020
44227,Hipopótamo,C3788,P8107,339,61,20679
44227,Hipopótamo,C5501,P2901,121,32,3872
44227,Hipopótamo,C5662,P9663,164,188,30832
