Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Leopardo,C6336,P1573,94,92,8648
44197,Leopardo,C7305,P9893,48,128,6144
44198,Leopardo,C1499,P7887,173,177,30621
44198,Leopardo,C3485,P4384,164,102,16728
44198,Leopardo,C3715,P9923,277,75,20775
44198,Leopardo,C3921,P2504,398,44,17512
44198,Leopardo,C4835,P4818,254,113,28702
44198,Leopardo,C4921,P2693,397,115,45655
44198,Leopardo,C6339,P2047,226,141,31866
44198,Leopardo,C6409,P2641,54,175,9450
44198,Leopardo,C6547,P5303,45,129,5805
44198,Leopardo,C6683,P8399,371,48,17808
44198,Leopardo,C7208,P5777,171,54,9234
44198,Leopardo,C9484,P9075,234,162,37908
44199,Leopardo,C3563,P6691,271,50,13550
44199,Leopardo,C3675,P9886,321,75,24075
44199,Leopardo,C4237,P9825,154,177,27258
44199,Leopardo,C4831,P5234,299,35,10465
44199,Leopardo,C8699,P1709,300,88,26400
44200,Leopardo,C1896,P1190,125,87,10875
44200,Leopardo,C2104,P2791,145,98,14210
44200,Leopardo,C2195,P1613,159,197,31323
44200,Leopardo,C3703,P7880,318,118,37524
44200,Leopardo,C4274,P2641,72,118,8496
44200,Leopardo,C5416,P1474,142,118,16756
44200,Leopardo,C6582,P6354,339,64,21696
44200,Leopardo,C6721,P2579,204,200,40800
44200,Leopardo,C7144,P7948,363,143,51909
44200,Leopardo,C7560,P3805,202,144,29088
44200,Leopardo,C7681,P6331,121,183,22143
44200,Leopardo,C8569,P6614,162,141,22842
44200,Leopardo,C9649,P7474,366,34,12444
44201,Leopardo,C2128,P1201,187,63,11781
44201,Leopardo,C2902,P1125,38,93,3534
44201,Leopardo,C3073,P9164,23,199,4577
44201,Leopardo,C4194,P8569,341,163,55583
44201,Leopardo,C5500,P8493,344,125,43000
44201,Leopardo,C6620,P5334,396,99,39204
44201,Leopardo,C7163,P5410,143,10,1430
44201,Leopardo,C7771,P7243,270,32,8640
44201,Leopardo,C8472,P4899,202,199,40198
44201,Leopardo,C8576,P6381,365,119,43435
44202,Leopardo,C1849,P3950,232,98,22736
44202,Leopardo,C2476,P2336,64,165,10560
44202,Leopardo,C2775,P3960,56,56,3136
44202,Leopardo,C3218,P9646,143,197,28171
44202,Leopardo,C3869,P9134,208,129,26832
44202,Leopardo,C4059,P6836,323,73,23579
44202,Leopardo,C4325,P3082,320,194,62080
44202,Leopardo,C4476,P7657,345,196,67620
44202,Leopardo,C4788,P2032,20,86,1720
44202,Leopardo,C5556,P9263,273,53,14469
44202,Leopardo,C6216,P8082,208,191,39728
44202,Leopardo,C6887,P7888,202,130,26260
44202,Leopardo,C9810,P3290,334,63,21042
44203,Leopardo,C1821,P4919,234,132,30888
44203,Leopardo,C3170,P9097,258,62,15996
44203,Leopardo,C3768,P9489,93,86,7998
44203,Leopardo,C5253,P9710,126,62,7812
44203,Leopardo,C6663,P6897,227,167,37909
44203,Leopardo,C7511,P5054,177,184,32568
44203,Leopardo,C7594,P1255,230,165,37950
44203,Leopardo,C8801,P5880,108,153,16524
44203,Leopardo,C9346,P7630,335,84,28140
44204,Leopardo,C1013,P2161,365,90,32850
44204,Leopardo,C4022,P3238,289,54,15606
44204,Leopardo,C5336,P3219,379,143,54197
44204,Leopardo,C6012,P7118,278,86,23908
44204,Leopardo,C8347,P2660,11,172,1892
44204,Leopardo,C8889,P8882,390,135,52650
44205,Leopardo,C3975,P5089,321,52,16692
44205,Leopardo,C6693,P7910,332,17,5644
44205,Leopardo,C8046,P1472,353,54,19062
44205,Leopardo,C8418,P2509,114,51,5814
44205,Leopardo,C8607,P7556,38,17,646
44205,Leopardo,C8684,P9409,302,150,45300
44206,Leopardo,C1761,P9673,199,64,12736
44206,Leopardo,C1797,P8925,242,14,3388
44206,Leopardo,C2316,P1754,296,200,59200
44206,Leopardo,C2898,P5612,324,30,9720
44206,Leopardo,C4979,P1715,242,104,25168
44206,Leopardo,C5725,P2154,253,162,40986
44206,Leopardo,C6382,P8299,98,88,8624
44206,Leopardo,C6385,P1719,304,73,22192
44206,Leopardo,C7740,P3100,266,182,48412
44206,Leopardo,C8310,P6407,177,175,30975
44206,Leopardo,C8376,P6508,367,118,43306
44206,Leopardo,C8449,P2177,201,114,22914
44206,Leopardo,C8665,P8800,99,185,18315
44206,Leopardo,C9698,P9857,143,99,14157
44207,Leopardo,C1280,P5623,245,133,32585
44207,Leopardo,C1533,P4153,376,133,50008
44207,Leopardo,C3170,P2059,76,94,7144
44207,Leopardo,C4461,P7394,347,180,62460
44207,Leopardo,C4736,P8370,338,22,7436
44207,Leopardo,C5070,P3082,232,151,35032
44207,Leopardo,C6660,P8840,146,157,22922
44207,Leopardo,C8523,P7755,110,123,13530
44207,Leopardo,C8957,P5565,171,65,11115
44208,Leopardo,C1375,P5828,74,103,7622
44208,Leopardo,C3875,P6062,396,64,25344
44208,Leopardo,C4626,P9394,353,155,54715
44208,Leopardo,C4681,P8509,92,106,9752
44208,Leopardo,C6576,P1239,177,42,7434
44208,Leopardo,C6670,P7880,131,22,2882
44208,Leopardo,C9013,P7244,175,197,34475
44208,Leopardo,C9239,P4944,58,56,3248
44208,Leopardo,C9348,P5265,60,90,5400
44208,Leopardo,C9495,P5603,120,82,9840
44209,Leopardo,C2318,P7336,277,187,51799
44209,Leopardo,C3813,P8998,213,161,34293
44209,Leopardo,C7123,P7208,78,132,10296
44209,Leopardo,C7458,P8083,113,165,18645
44209,Leopardo,C7948,P9064,19,167,3173
44209,Leopardo,C9218,P5971,147,26,3822
