Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Leão,C4068,P2842,67,36,2412
44197,Leão,C4128,P2451,227,78,17706
44197,Leão,C5688,P4959,77,150,11550
44198,Leão,C1009,P2398,317,57,18069
44198,Leão,C1363,P1936,90,119,10710
44198,Leão,C7018,P8075,56,110,6160
44199,Leão,C2498,P1166,306,189,57834
44199,Leão,C2842,P6317,102,126,12852
44199,Leão,C4040,P5466,260,47,12220
44199,Leão,C4430,P1856,159,118,18762
44199,Leão,C4823,P2321,63,150,9450
44199,Leão,C4844,P9094,16,18,288
44199,Leão,C5901,P3162,368,191,70288
44199,Leão,C6613,P7968,109,62,6758
44199,Leão,C9787,P9681,124,173,21452
44200,Leão,C7880,P1255,72,157,11304
44200,Leão,C9053,P7101,39,52,2028
44201,Leão,C1554,P3111,153,66,10098
44201,Leão,C2395,P6901,26,191,4966
44201,Leão,C2662,P7656,363,47,17061
44201,Leão,C4123,P7229,396,164,64944
44201,Leão,C5277,P2103,243,76,18468
44201,Leão,C5398,P2975,362,138,49956
44201,Leão,C5720,P1190,247,158,39026
44201,Leão,C5736,P8379,245,138,33810
44201,Leão,C7430,P2110,372,138,51336
44201,Leão,C7522,P4242,377,192,72384
44201,Leão,C8310,P3081,52,124,6448
44201,Leão,C8751,P3058,232,177,41064
44202,Leão,C1999,P5216,265,145,38425
44202,Leão,C2107,P3428,234,195,45630
44202,Leão,C3272,P3797,91,24,2184
44202,Leão,C3638,P3887,370,114,42180
44202,Leão,C4152,P6423,352,179,63008
44202,Leão,C4500,P9959,145,32,4640
44202,Leão,C5302,P4568,393,151,59343
44202,Leão,C6133,P9027,397,70,27790
44202,Leão,C6764,P7451,26,32,832
44202,Leão,C6995,P7754,363,157,56991
44202,Leão,C8422,P4330,28,23,644
44202,Leão,C8689,P4340,249,105,26145
44202,Leão,C9140,P2739,223,160,35680
44203,Leão,C1035,P3989,34,68,2312
44203,Leão,C1460,P9378,91,53,4823
44203,Leão,C1633,P7236,18,40,720
44203,Leão,C6497,P9551,229,124,28396
44203,Leão,C7326,P9045,51,111,5661
44203,Leão,C7798,P4472,252,69,17388
44204,Leão,C1020,P1018,102,55,5610
