Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Mico,C2029,P7704,78,18,1404
44197,Mico,C4022,P4259,156,71,11076
44197,Mico,C4753,P6073,226,184,41584
44197,Mico,C5041,P8800,292,24,7008
44197,Mico,C7602,P4152,332,144,47808
44197,Mico,C8508,P9989,78,148,11544
44197,Mico,C8639,P5247,173,143,24739
44197,Mico,C9507,P4467,169,130,21970
44198,Mico,C1326,P8374,56,22,1232
44198,Mico,C1540,P8379,362,184,66608
44198,Mico,C3803,P2561,252,38,9576
44198,Mico,C5439,P7358,310,15,4650
44198,Mico,C5982,P2944,397,43,17071
44198,Mico,C6846,P5726,79,49,3871
44198,Mico,C9403,P1493,163,91,14833
44198,Mico,C9529,P4804,387,179,69273
44199,Mico,C2225,P8463,97,44,4268
44199,Mico,C3481,P7200,125,156,19500
44199,Mico,C3838,P6013,71,105,7455
44199,Mico,C4762,P8403,303,153,46359
44199,Mico,C7308,P1075,295,28,8260
44199,Mico,C7308,P9330,179,63,11277
44199,Mico,C7665,P1088,199,138,27462
44199,Mico,C8583,P9130,252,147,37044
44200,Mico,C1362,P3735,340,102,34680
44200,Mico,C2278,P4413,295,46,13570
44200,Mico,C3037,P2858,56,183,10248
44200,Mico,C3590,P7230,244,41,10004
44200,Mico,C3886,P5070,114,119,13566
44200,Mico,C4548,P1508,30,166,4980
44200,Mico,C4946,P9811,164,122,20008
44200,Mico,C7279,P7735,306,107,32742
44200,Mico,C8058,P8607,29,44,1276
44200,Mico,C8908,P5874,194,90,17460
44200,Mico,C9487,P5657,216,149,32184
44201,Mico,C1211,P7413,199,136,27064
44201,Mico,C1553,P6856,88,176,15488
44201,Mico,C2443,P7904,144,141,20304
44201,Mico,C2571,P7633,391,168,65688
44201,Mico,C2697,P1198,108,101,10908
44201,Mico,C3403,P1001,261,146,38106
44201,Mico,C4502,P8324,244,97,23668
44201,Mico,C5335,P5747,221,186,41106
44201,Mico,C5406,P9197,198,168,33264
44201,Mico,C5746,P8165,346,159,55014
44201,Mico,C7105,P5821,273,10,2730
44201,Mico,C8773,P4595,18,197,3546
44202,Mico,C1114,P4206,397,74,29378
44202,Mico,C1513,P8765,206,111,22866
44202,Mico,C1991,P1394,345,57,19665
44202,Mico,C2867,P4436,261,133,34713
44202,Mico,C3025,P9816,97,36,3492
44202,Mico,C3327,P3367,62,173,10726
44202,Mico,C4638,P2875,20,22,440
44202,Mico,C4953,P8832,251,136,34136
44202,Mico,C5474,P9026,12,195,2340
44202,Mico,C5830,P5275,83,153,12699
44202,Mico,C6299,P1882,344,40,13760
44202,Mico,C6368,P4858,190,164,31160
44202,Mico,C6649,P2128,44,172,7568
44202,Mico,C7416,P3649,390,52,20280
44202,Mico,C7596,P8165,96,33,3168
44202,Mico,C8489,P3997,274,192,52608
44202,Mico,C8551,P2424,374,115,43010
44202,Mico,C8778,P2688,131,156,20436
44202,Mico,C8932,P3538,120,90,10800
44202,Mico,C9489,P9130,165,153,25245
44202,Mico,C9502,P3990,273,135,36855
44203,Mico,C1684,P6313,350,97,33950
44203,Mico,C1759,P5746,18,54,972
44203,Mico,C2240,P4104,354,130,46020
44203,Mico,C2661,P9454,223,31,6913
44203,Mico,C2760,P2189,82,15,1230
44203,Mico,C4080,P5518,351,144,50544
44203,Mico,C4966,P1747,284,183,51972
44203,Mico,C5666,P5548,67,20,1340
44203,Mico,C6201,P1056,168,69,11592
44203,Mico,C6247,P4150,29,151,4379
44203,Mico,C7073,P9315,352,141,49632
44203,Mico,C7214,P3450,84,145,12180
44203,Mico,C8007,P3692,254,181,45974
44203,Mico,C8026,P1446,308,197,60676
44203,Mico,C8163,P9052,192,42,8064
44203,Mico,C8252,P9055,265,69,18285
44204,Mico,C1175,P3523,282,158,44556
44204,Mico,C1605,P7750,178,67,11926
44204,Mico,C2614,P2760,96,36,3456
44204,Mico,C2764,P5227,88,54,4752
44204,Mico,C4022,P2783,57,47,2679
44204,Mico,C4299,P3324,105,115,12075
44204,Mico,C4312,P5984,254,127,32258
44204,Mico,C4530,P8117,101,124,12524
44204,Mico,C4651,P1189,178,157,27946
44204,Mico,C5244,P2742,174,67,11658
44204,Mico,C5632,P8859,290,59,17110
44204,Mico,C5843,P7644,348,16,5568
44204,Mico,C6081,P2294,82,182,14924
44204,Mico,C6134,P4700,304,45,13680
44204,Mico,C6279,P5018,75,185,13875
44204,Mico,C6336,P1752,186,45,8370
44204,Mico,C6505,P1973,232,80,18560
44204,Mico,C7174,P7469,235,63,14805
44204,Mico,C7588,P4506,134,183,24522
44204,Mico,C9347,P8539,19,97,1843
44204,Mico,C9700,P4768,191,13,2483
44204,Mico,C9980,P2928,221,181,40001
44205,Mico,C5666,P2856,267,120,32040
44205,Mico,C5704,P7072,100,194,19400
44205,Mico,C7257,P1723,213,109,23217
44205,Mico,C8166,P6834,132,191,25212
44205,Mico,C9586,P8608,167,201,33567
44205,Mico,C9964,P4448,340,52,17680
44206,Mico,C1546,P9214,51,86,4386
44206,Mico,C1869,P1739,318,62,19716
44206,Mico,C2578,P8616,295,23,6785
44206,Mico,C2635,P7296,91,201,18291
44206,Mico,C2791,P2456,70,90,6300
44206,Mico,C2977,P3429,379,95,36005
44206,Mico,C3110,P7706,373,133,49609
44206,Mico,C3399,P7143,347,61,21167
44206,Mico,C4621,P2592,124,155,19220
44206,Mico,C4768,P4585,375,124,46500
44206,Mico,C5519,P7463,99,18,1782
44206,Mico,C7248,P9900,111,166,18426
44206,Mico,C8167,P1598,356,152,54112
44206,Mico,C8838,P5458,67,201,13467
44206,Mico,C9140,P7556,190,140,26600
44206,Mico,C9765,P8323,40,107,4280
44207,Mico,C1052,P9850,148,167,24716
44207,Mico,C2331,P3688,227,99,22473
44207,Mico,C2395,P7825,235,109,25615
44207,Mico,C2506,P8457,19,144,2736
44207,Mico,C2914,P1401,13,68,884
44207,Mico,C4023,P3110,364,144,52416
44207,Mico,C4841,P3253,27,74,1998
44207,Mico,C5104,P5170,135,199,26865
44207,Mico,C5108,P4008,364,122,44408
44207,Mico,C5635,P6350,346,59,20414
44207,Mico,C6135,P4117,146,129,18834
44207,Mico,C6221,P9046,213,194,41322
44207,Mico,C7004,P6192,291,64,18624
44207,Mico,C7646,P8912,362,163,59006
44207,Mico,C8520,P4881,62,132,8184
44207,Mico,C8950,P9108,350,41,14350
44207,Mico,C9255,P5079,130,162,21060
44208,Mico,C1170,P7101,102,83,8466
44208,Mico,C2217,P7528,204,96,19584
44208,Mico,C3096,P6845,83,105,8715
44208,Mico,C3629,P4735,203,53,10759
44208,Mico,C3681,P2176,243,175,42525
44208,Mico,C6429,P8246,317,73,23141
44208,Mico,C6711,P7625,203,64,12992
44208,Mico,C6882,P7119,31,177,5487
44208,Mico,C7583,P6430,155,130,20150
44208,Mico,C8313,P5389,75,104,7800
44208,Mico,C8321,P6356,237,54,12798
44208,Mico,C9318,P2761,113,121,13673
44209,Mico,C1113,P9622,265,67,17755
44209,Mico,C1127,P6591,15,33,495
44209,Mico,C2132,P5163,11,21,231
44209,Mico,C2196,P8555,293,67,19631
