Data,Filial,Código do Cliente,Código do Produto,Quantidade,Preço,Valor Total
44197,Onça,C1566,P5445,387,172,66564
44197,Onça,C2219,P4952,351,146,51246
44197,Onça,C3382,P8612,299,79,23621
44197,Onça,C4829,P8361,42,90,3780
44197,Onça,C5210,P2130,370,42,15540
44197,Onça,C7991,P4578,48,92,4416
44197,Onça,C9482,P8601,103,113,11639
44198,Onça,C1451,P8830,130,163,21190
44198,Onça,C2174,P6823,281,188,52828
44198,Onça,C2189,P9956,171,57,9747
44198,Onça,C2235,P1941,390,156,60840
44198,Onça,C3071,P9292,340,108,36720
44198,Onça,C3236,P2583,230,42,9660
44198,Onça,C3854,P6148,143,20,2860
44198,Onça,C4655,P8102,200,162,32400
44198,Onça,C4693,P3318,33,45,1485
44198,Onça,C5034,P9197,47,94,4418
44198,Onça,C5194,P2740,24,92,2208
44198,Onça,C6611,P8694,327,175,57225
44198,Onça,C7449,P6611,334,164,54776
44198,Onça,C7467,P1964,81,48,3888
44198,Onça,C7651,P5318,17,143,2431
44198,Onça,C7865,P4122,365,142,51830
44198,Onça,C8036,P9761,43,115,4945
44198,Onça,C8347,P1735,193,63,12159
44199,Onça,C4747,P6178,97,105,10185
44199,Onça,C5519,P9393,40,48,1920
44199,Onça,C7244,P3083,139,69,9591
44199,Onça,C7851,P2806,233,107,24931
44199,Onça,C9883,P9287,52,131,6812
44200,Onça,C1132,P2997,60,13,780
44200,Onça,C1254,P6269,96,17,1632
44200,Onça,C1597,P2421,283,144,40752
44200,Onça,C1750,P4907,173,14,2422
44200,Onça,C2271,P3901,367,103,37801
44200,Onça,C2378,P7803,345,198,68310
44200,Onça,C2410,P2071,307,174,53418
44200,Onça,C5791,P7040,142,83,11786
44200,Onça,C8911,P5893,93,132,12276
44200,Onça,C9050,P3773,149,55,8195
44201,Onça,C3834,P6883,348,33,11484
44201,Onça,C4190,P5241,61,166,10126
44201,Onça,C6102,P3213,68,146,9928
44201,Onça,C6975,P6527,359,138,49542
44201,Onça,C8006,P9219,305,178,54290
44201,Onça,C9793,P2537,71,93,6603
44202,Onça,C1250,P6848,99,178,17622
44202,Onça,C1267,P9092,204,77,15708
44202,Onça,C1282,P2772,252,131,33012
44202,Onça,C2643,P4646,244,141,34404
44202,Onça,C2673,P1751,65,23,1495
44202,Onça,C4328,P5210,252,30,7560
44202,Onça,C4644,P5023,241,91,21931
44202,Onça,C5131,P4329,58,74,4292
44202,Onça,C6655,P5476,224,20,4480
44202,Onça,C7329,P2011,24,89,2136
44202,Onça,C7442,P2370,214,17,3638
44202,Onça,C7531,P8518,139,96,13344
44202,Onça,C8119,P1033,337,112,37744
44202,Onça,C8245,P3143,212,39,8268
44202,Onça,C8364,P7596,307,162,49734
44202,Onça,C9768,P9235,270,66,17820
44203,Onça,C1435,P4966,258,43,11094
44203,Onça,C2545,P6675,217,118,25606
44203,Onça,C2766,P4791,145,90,13050
44203,Onça,C5781,P1416,207,64,13248
44203,Onça,C6764,P9106,217,200,43400
44203,Onça,C6971,P6652,129,101,13029
44204,Onça,C2611,P2286,356,178,63368
44204,Onça,C3831,P9571,384,178,68352
44204,Onça,C4588,P2761,78,43,3354
44204,Onça,C5428,P3241,351,22,7722
44204,Onça,C5607,P7757,57,194,11058
44204,Onça,C6052,P4009,201,180,36180
44204,Onça,C8193,P2556,139,11,1529
44204,Onça,C8675,P1823,159,100,15900
44204,Onça,C8943,P4688,138,131,18078
44205,Onça,C1862,P3627,306,61,18666
44205,Onça,C3863,P2349,113,34,3842
44205,Onça,C4142,P7399,110,28,3080
44205,Onça,C4725,P5566,129,195,25155
44205,Onça,C6271,P8250,80,161,12880
44205,Onça,C6280,P5927,149,198,29502
44205,Onça,C6481,P1780,73,37,2701
44205,Onça,C7292,P3066,390,193,75270
44205,Onça,C7406,P4625,148,92,13616
44205,Onça,C7685,P5185,94,11,1034
44205,Onça,C7763,P8238,317,115,36455
44205,Onça,C8168,P8053,380,13,4940
44205,Onça,C8618,P3598,205,119,24395
44205,Onça,C9880,P8538,171,29,4959
44206,Onça,C2437,P6227,289,175,50575
44206,Onça,C2967,P5298,77,51,3927
44206,Onça,C3313,P7159,172,76,13072
44206,Onça,C3532,P6911,392,173,67816
44206,Onça,C3545,P2971,67,127,8509
44206,Onça,C4619,P5428,374,61,22814
44206,Onça,C4691,P3933,69,153,10557
44206,Onça,C8642,P1553,14,78,1092
44206,Onça,C9396,P9414,210,137,28770
44207,Onça,C1117,P8297,146,132,19272
44207,Onça,C1677,P9871,272,169,45968
44207,Onça,C1710,P9104,25,78,1950
44207,Onça,C2773,P8466,240,36,8640
